Commentaire,Séance,Module,Polarité,Attitude,Attente,Présentation,Contenu,Design,Général,Communication,Structure,Anxiété,Colère,Ennui,Joie,Mécontentement,Confusion,Utilité,Intrinsèque,Accomplissement,Cout,Satisfaction,Gratitude,Sentiment,Aspect,Niveau
Le cours est intéressant,04/01/2021,PDC,P,NE,NE,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,J,S,1CS
Le cours est bien structuré.,04/01/2021,PDC,P,NE,NE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,M,D,1CS
il faut ajouter quelques animations.,04/01/2021,PDC,N,NE,NE,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,J,CO,1CS
Très bonne communication,04/01/2021,PDC,P,NE,NE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,J,G,1CS
C'est incroyable la quantité de connaissances que j'ai acquises aujourd’hui,04/01/2021,PDC,P,NE,NE,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,M,Pr,1CS
l'explication est bonne mais la façon c'est inactive,04/01/2021,PDC,N,NE,NE,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,J,C,1CS
les notions sont importantes et intéressantes,04/01/2021,PDC,P,NE,NE,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,J,S,1CS
j'aime bien la structure de ce cours et surtout les exemples sont bien choisis,04/01/2021,PDC,P,NE,NE,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,M,D,1CS
les diapos sont un petit peu chargés il est utile de séparer les sous titres dans des diapos appart,04/01/2021,PDC,N,NE,NE,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,E,CO,1CS
il n'y a pas beaucoup d'interaction entre les étudiants et l'enseignant est ennuyant.,04/01/2021,PDC,N,NE,NE,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,J,G,1CS
l'explication est claire et l'enseignant répond à nos questions,04/01/2021,PDC,P,A,NE,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,M,Pr,1CS
j'aime pas vraiment la méthode abordée en ligne dans la séance de pdc,04/01/2021,PDC,N,NE,NE,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,M,C,1CS
"Trop de patrons, j'aimerais si on étudie peu de patrons pour bien les maîtriser",04/01/2021,PDC,N,NE,NE,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,M,D,1CS
incohérence des fonts,04/01/2021,PDC,N,NE,NE,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,J,CO,1CS
l'enseignante demande toujours si on a des questions donc on a l'opportunité de poser des questions sur les points non claires je l'aime bien,04/01/2021,PDC,P,A,NE,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,A,G,1CS
"typiquement vrai "" Je n'arrive pas à comprendre "" et « ce cours m'a rendu angoissé »",04/01/2021,PDC,N,NE,N,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,J,Pr,1CS
"La présentation du prof  nous aide à comprendre les concepts du cours, c'est le meilleur prof",04/01/2021,PDC,P,A,NE,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,J,C,1CS
La séance est très intéressante du moment où ça nous aide à optimiser nos codes afin de les rendre  plus performant et efficace. Le cours est très bien présenté et illustré avec beaucoup d'exemples.,04/01/2021,PDC,P,NE,NE,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,J,S,1CS
"Je trouve le séquencement très logique: on commence d'abord en se rappelons sur les concepts de POO vus en 2CP, ensuite on élabore les nouveaux patrons de conceptions.",04/01/2021,PDC,P,NE,NE,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,J,D,1CS
Les slides sont beaux et originaux,04/01/2021,PDC,P,NE,NE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,M,D,1CS
Je pense que quelque slides contiennent beaucoup de détails et d'informations supplémentaires.,04/01/2021,PDC,N,NE,NE,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,J,CO,1CS
Très bonne communication entre prof et étudiants.,04/01/2021,PDC,P,NE,NE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,NE,G,1CS
"Ça serait encore mieux si on pouvait inclure des exercices un peu réel au à la fin des patrons, afin de s'exercer sur des cas un peu compliqués.",04/01/2021,PDC,NE,NE,NE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,J,Pr,1CS
"Une bonne présentation des cours, tout ce qui aide à les comprendre est inclus.",04/01/2021,PDC,P,NE,NE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,F,Pr,1CS
Peut-être il faut juste détailler un peu plus les exemples car des fois je me sens confus  vu que la liste des DPs est longue,04/01/2021,PDC,N,NE,NE,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,J,C,1CS
"Jusqu'à présent, les DP sont intéressants.",04/01/2021,PDC,P,NE,NE,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,J,S,1CS
La séquence des cours est bien établie,04/01/2021,PDC,P,NE,NE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,M,D,1CS
Certains slides contiennent beaucoup de texte ce qui est un peu fatiguant,04/01/2021,PDC,N,NE,NE,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,J,CO,1CS
J'aime bien le fait que l'enseignant répond aux questions au fur et à mesure,04/01/2021,PDC,P,A,NE,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,J,G,1CS
"C'est une séance très intéressante, riche et importante",04/01/2021,PDC,P,NE,NE,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,J,C,1CS
contenu riche et important j'aime bien,07/01/2021,PDC,P,NE,NE,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,M,G,1CS
séance courte 1 heure de td ne suffit pas,07/01/2021,PDC,N,NE,NE,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,J,S,1CS
il est bien structuré,07/01/2021,PDC,P,NE,NE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,C,G,1CS
aujourd'hui je n'est pas bien compris et ça m'énerve,07/01/2021,PDC,N,NE,NE,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,J,CO,1CS
une bonne communication puisque on peut poser nos questions à tout moment,07/01/2021,PDC,P,NE,NE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,A,G,1CS
"c'est difficile de suivre oralement , le contact visuel est toujours meilleur",07/01/2021,PDC,N,NE,NE,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,J,C,1CS
une quantité logique selon le volume horaire  ^^,07/01/2021,PDC,P,NE,NE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,J,C,1CS
Toutes les notions de cours sont intéressantes,07/01/2021,PDC,P,NE,NE,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,J,S,1CS
L'ordre est bon,07/01/2021,PDC,P,NE,NE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,J,D,1CS
c'est agréable,07/01/2021,PDC,P,NE,NE,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,J,CO,1CS
il y a une bonne communication j'adore,07/01/2021,PDC,P,NE,NE,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,A,G,1CS
Je revois les cours toujours parce que en présentiel j'ai l'habitude d'écrire au même temps que l'enseignant explique mais en ligne j'arrive pas à écrire et comprendre au même temps donc je perds le fil et ça me stresse,07/01/2021,PDC,N,NE,N,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,J,Pr,1CS
l'enseignante a bien expliqué et simplifié les cours j'adore,07/01/2021,PDC,P,A,NE,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,M,C,1CS
le contenu du cours me semble très intéressant et  très utile mais il peut s'améliorer s'il y aura plus d'exemples celui qui va nous aider à bien comprendre,07/01/2021,PDC,N,NE,NE,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,J,S,1CS
Jusqu'à maintenant le cours est bien organisé,07/01/2021,PDC,P,NE,NE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,M,D,1CS
le cours contient beaucoup de text,07/01/2021,PDC,N,NE,NE,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,J,G,1CS
j'apprécie la méthode de communication du prof durant la séance et comment elle  répond aux questions malgré que le temps associé aux séances est relativement court .,07/01/2021,PDC,P,A,NE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,J,Pr,1CS
La présentation est bonne,07/01/2021,PDC,P,NE,NE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,J,S,1CS
le cours est bien structuré,07/01/2021,PDC,P,NE,NE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,J,D,1CS
le design est bien,07/01/2021,PDC,P,NE,NE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,C,CO,1CS
ça m'énerve quand le prof me demande de prendre la parole car j'ai pas une bonne connexion et je ne suis pas à l'aise chez moi,07/01/2021,PDC,N,NE,NE,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,M,G,1CS
Comme mentionné j'arrive pas à comprendre pourquoi il essaye de comparer le présentiel avec le virtuel c'est pas la même chose et ce n'est pas le même rythme donc il faut revoir la méthode en ligne.,07/01/2021,PDC,N,NE,NE,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,M,CO,1CS
Le fait de choisir une personne quelconque pour répondre aux questions je trouve que c'est un inconvénient. Car ce n'est pas tout le monde qui a une réponse ou peut pas activer son microphone surtout à la maison,11/01/2021,PDC,N,NE,NE,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,J,C,1CS
Je trouve que le contenu est bien présenté,11/01/2021,PDC,P,NE,NE,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,J,S,1CS
Il est bien organisé,11/01/2021,PDC,P,NE,NE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,J,D,1CS
"Très bien fait, même les exemples sont bien illustratifs et reflètent la réalité ce qui nous laisse réellement imaginer le problème et penser à une solution.",11/01/2021,PDC,P,NE,NE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,M,CO,1CS
J'aime pas le fait de désigner une personne précise et lui poser des questions. Je préfère la méthode de laisser les questions juste après chaque partie présentée.,11/01/2021,PDC,N,NE,NE,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,M,G,1CS
Un peu trop d'informations présentées par séance,11/01/2021,PDC,N,NE,NE,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,A,C,1CS
J'aime bien le contenu du cours.,11/01/2021,PDC,N,NE,NE,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,J,S,1CS
des fois je me sens stressé quand je vois beaucoup d'informations sur la présentation. Je pense que le cours détaillé c'est pour réviser tout seul et la présentation sera sous forme de grande lignes avec les exemples qui seront dans le cours.,11/01/2021,PDC,N,NE,NE,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,J,D,1CS
J'aime bien comment le cours est structuré surtout les pattern Gof sous forme de catégories ensuite on détaille chaque catégorie.,11/01/2021,PDC,P,NE,NE,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,E,CO,1CS
"J'aime, design clair et lisible pas d'abus de couleur. ",11/01/2021,PDC,P,NE,NE,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,A,G,1CS
"La communication c'est un défaut des étudiants, peu d'étudiants participent en ligne et ça devient ennuyant ",11/01/2021,PDC,N,NE,NE,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,J,G,1CS
J'ai pas arrivé à suivre à cause des coupures de connexion sinon des que je revois le cours j'assimile très bien ce que nous avons vu.,11/01/2021,PDC,N,NE,NE,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,J,C,1CS
Cette séance était parmi les meilleures séances pour ne pas dire la meilleur,04/01/2021,PDC,P,NE,NE,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,J,D,1CS
Un nombre raisonnable de notions et on a compris,04/01/2021,PDC,P,NE,NE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,J,CO,1CS
Le design était bien,04/01/2021,PDC,P,NE,NE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,E,Pr,1CS
" cette fois la communication était très très très bonne, l'enseignante n'a pas obligé les gens a activer leurs micro",04/01/2021,PDC,P,NE,NE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,J,C,1CS
"La façon de présentation de la prof n'est pas bonne , la séance passe trop lourde ",04/01/2021,PDC,N,H,NE,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,J,S,1CS
Le contenu du module est très important surtout pour un ingénieur logiciel.,04/01/2021,PDC,P,NE,NE,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,M,D,1CS
"Pour la structure , le cours est bien structuré , genre étape par étape .",04/01/2021,PDC,P,NE,NE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,J,CO,1CS
"Les slides sont trop chargés , les exemples sont un peu compliqués.",04/01/2021,PDC,N,NE,NE,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,M,G,1CS
"Dans ce côté la prof pose toujours la question si nous comprenons ou non , donc une bonne communication.",04/01/2021,PDC,P,NE,NE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,J,Pr,1CS
"Si je ne revois pas le cours plusieurs fois et faire des recherche j'arrive pas à comprendre le 20% , donc la quantité des informations gardé durant la séance est très faible en comparant avec d'autres modules.",04/01/2021,PDC,N,NE,N,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,F,C,1CS
La présentation du cours contient toutes les informations nécessaires,07/01/2021,TICO,P,NE,NE,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,J,S,1CS
Des fois je n'arrive pas à faire le lien entre les notions du même chapitre,07/01/2021,TICO,N,NE,N,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,J,D,1CS
Je pense que l'ordre dont lequel les notions sont présentées est très logique,07/01/2021,TICO,P,NE,NE,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,J,CO,1CS
Texte clair et lisible. Les couleurs ne sont pas ennuyantes,07/01/2021,TICO,P,NE,NE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,M,G,1CS
J'aime bien l'échange entre le prof et les étudiants,07/01/2021,TICO,P,NE,NE,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,J,Pr,1CS
"Le cours contient beaucoup d'informations. Je pense ça serait bien de préciser le pourquoi des choses, pour qui  et dans quel but",07/01/2021,TICO,N,NE,NE,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,J,C,1CS
J'adore la présentation du cours. L'enseignant est très pédagogue.,07/01/2021,TICO,P,A,NE,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,J,S,1CS
"Le contenu est léger, abordable et pertinent. ",07/01/2021,TICO,P,NE,NE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,J,D,1CS
Le cours est très bien structuré.,07/01/2021,TICO,P,NE,NE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,J,CO,1CS
"Le cours ne nécessite pas d'efforts pour le comprendre, son design est simple et ne contenant que l'essentiel.",07/01/2021,TICO,P,NE,NE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,J,G,1CS
"J'aime bien le fait que l'enseignant pose des questions aux étudiants, sur certains aspects du cours qui nous font réfléchir.",07/01/2021,TICO,P,A,NE,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,J,Pr,1CS
Les séances de ce module sont parmi mes préférées à cause de l'enseignante,07/01/2021,TICO,P,A,NE,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,J,C,1CS
"Le cours est bien présenté ,les informations sont simplement transmis aussi que le prof essaye de créer une certaine interaction  dans le groupe malgré que c'est difficile ",07/01/2021,TICO,P,A,NE,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,J,S,1CS
Le contenu du cours est important soit dans la phase analyse des contenus ou même surtout la partie étude des cas,07/01/2021,TICO,P,NE,NE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,J,D,1CS
Le cours est bien structuré et je trouve une cohérence entre les séances du cours et TD,07/01/2021,TICO,P,NE,NE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,J,CO,1CS
Pour les slides du cours je les trouve bien on est déjà habitué à ce style avec le module cprj et aqua avec Et aussi dans les slides du cours y’a des photos et schémas  qui attire parfois l'attention lors de l'introduction des exemple et je trouve que ça rendre la présentation active,07/01/2021,TICO,P,NE,NE,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,M,Pr,1CS
Bon pour ce point personnellement je préfère la méthodes de dialogue et aussi genre après chaque fin d’un points importants il y’a les questions c’est pas jusqu'à la fin et je trouve ça bien car ça me permet de pouvoir suivre et ne pas déconnecter et perdre la concentration lors du cours,07/01/2021,TICO,P,NE,NE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,J,C,1CS
Je n'apprécie pas vraiment la présentation de ce cours,04/01/2021,TPGO,N,NE,NE,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,M,S,1CS
le cour est très intéressant surtout son contenu les notions abordées,04/01/2021,TPGO,P,NE,NE,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,E,D,1CS
je trouve qu'il n'est pas assez bien organisé,04/01/2021,TPGO,N,NE,NE,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,C,CO,1CS
"on trouve aucune interactivité , noir sur blanc c'est ennuyant",04/01/2021,TPGO,N,NE,NE,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,M,G,1CS
"j'apprécie pas la méthode car il fait pas participer les étudiants , il accède pas au chat malgré qu'il y'a des problèmes signalés et ça m'énerve car on passe à autre chose sans comprendre ce qui est déjà vu il nous ignore complètement je le déteste",04/01/2021,TPGO,N,H,NE,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,M,Pr,1CS
il faut changer la methode de présentation de ce cours j'aime pas vraiment,04/01/2021,TPGO,N,NE,NE,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,J,C,1CS
"L'enseignant lit les diapos, peu d'explications approfondies des notions je le sens inutile",04/01/2021,TPGO,N,H,NE,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,M,S,1CS
Le cours sur les algorithmes est plutôt intéressant,04/01/2021,TPGO,P,NE,NE,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,E,D,1CS
"Cours mal organisé, relations entre les notions pas claires, transitions brusques entre les parties...",04/01/2021,TPGO,N,NE,NE,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,A,CO,1CS
"Mise en forme hideuse du texte, pas de couleurs au moins pour la distinction des différentes parties, schémas incompréhensibles et non expliqués, ça donne pas envie de suivre.",04/01/2021,TPGO,N,NE,NE,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,A,G,1CS
"L'enseignant va très rapidement, sans arrêt, sans prendre en considération le chat, il laisse les questions à la fin (généralement il ne reste pas beaucoup de temps) et on termine la séance avec beaucoup de questions dans nos tête et ça me rend angoissé et stressé. ",04/01/2021,TPGO,N,NE,NE,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,J,Pr,1CS
"Je n'arrive pas à comprendre avec le rythme rapide et les explications insuffisantes, encore moins suivre avec la mauvaise connexion de l'enseignant (mauvaise qualité de l'audio et de la vidéo, déconnexions...)",04/01/2021,TPGO,N,H,N,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,M,C,1CS
le professeur est dynamique donc le cours n'est pas ennuyeux,13/01/2021,TICO,P,A,NE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,J,S,1CS
"Les notions sont assez théoriques et il n'y a pas assez d'exemples relatifs au monde de l'entreprise, c'est toujours des exemples qui concernent l'ESI ",13/01/2021,TICO,N,NE,NE,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,J,D,1CS
Le cours est bien organisé,13/01/2021,TICO,P,NE,NE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,J,CO,1CS
Le cours est assez attractif,13/01/2021,TICO,P,NE,NE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,J,G,1CS
